term,HR,CI_low,CI_high,p_value
age_years,1.0204634052840138,1.0104583994880647,1.0305674751691207,5.587126018508031e-5
gendermale,1.0070792223667258,0.7471934201565199,1.3573574562665656,0.9630544195293007
stage_groupStage II,1.2649223190562826,0.8428303274970268,1.8983992638214224,0.25657954296109614
stage_groupStage III,1.819409113298485,1.2484052193388846,2.6515825713277468,0.0018425515536420079
stage_groupStage IV,2.9934772582881957,1.4864500507805867,6.02839368277658,0.0021422617501907167
