gene,HR,pvalue,FDR
ajcc_pathologic_stage,0.5550200565698106,0.250737003982717,0.4146071054286117
vital_status,675028417.3164275,0.9901670456794929,0.9932384433211622
ENSG00000107165.13,1.0540323443383837,2.6230568074519453e-5,3.6344958866688727e-4
ENSG00000129824.16,1.0206805522465683,0.1245720855277799,0.25125385960078833
ENSG00000186081.12,1.0688301917304783,4.089968681996297e-5,5.026541362984148e-4
ENSG00000122133.17,1.0622581472979504,1.0279468937692063e-4,9.81731071750102e-4
ENSG00000197172.10,0.9759872035376974,0.0962934063070382,0.20946543402111809
ENSG00000221867.9,0.9724488041434087,0.06419487034714465,0.15408001030538268
ENSG00000104044.16,1.0802964695260446,5.790391198703003e-7,2.335769094831647e-5
ENSG00000128422.17,1.0968815403291814,1.7867872147805396e-7,1.1171887060415323e-5
ENSG00000185664.14,1.0632481486414604,4.918873653446085e-4,0.0033658284561610555
ENSG00000211663.2,0.9431864955218137,3.7197077784975244e-4,0.002720172267257985
ENSG00000198930.13,0.9827463676799004,0.2944015173030786,0.46421289252960196
ENSG00000132746.15,1.0538747948221168,0.0020606919947726977,0.010692511782005223
ENSG00000211598.2,0.9488858954796383,0.001706877666708968,0.009221896545653148
ENSG00000225106.1,1.0502769979417383,0.00473224186049337,0.02109685720694103
ENSG00000134160.14,1.0572602575378902,0.0012951827409301555,0.007336924201735717
ENSG00000211945.2,0.9410873230367113,2.2087956588088433e-4,0.0018322381236089275
ENSG00000266554.2,1.0363277524756522,0.027276806156188806,0.0812618132181396
ENSG00000141639.12,1.0252514485796802,0.15235336486184667,0.29166431322429864
ENSG00000175793.12,1.0814665078729018,3.262183884892644e-5,4.183959946726412e-4
ENSG00000211934.3,0.949157125086939,0.0026080123993693677,0.012953526799834381
ENSG00000211659.2,0.9444793834912669,5.905241788219078e-4,0.0038662329089884594
ENSG00000004846.16,1.041033988448872,0.01806509309961064,0.059292385619588196
ENSG00000211947.2,0.9404404419070654,2.807291791099729e-4,0.0021922077275996626
ENSG00000128564.7,1.0232796698260445,0.18691434409608126,0.3385030952818966
ENSG00000211673.2,0.9409133477150995,4.024705452766686e-4,0.002884180039360883
ENSG00000211666.2,0.9429591178183175,6.517807907441621e-4,0.004195891268085327
ENSG00000211937.3,0.9391005852522268,2.8136692545361523e-4,0.0021922077275996626
ENSG00000080166.16,1.0343123971851995,0.04895295286935092,0.12634812706527002
ENSG00000211653.2,0.935001524547697,7.913025512896104e-5,8.115376992642357e-4
ENSG00000138669.9,1.0141891304453914,0.41363516716292464,0.5797149608579402
ENSG00000253755.1,0.9384166636043659,1.5278996591967174e-4,0.0013361108558220245
ENSG00000211949.3,0.9464904769956758,8.72883001315564e-4,0.005325680257350175
ENSG00000211899.10,0.9375744648624935,1.5160349653149798e-4,0.001328057249825837
ENSG00000211896.7,0.9372482419358237,8.026685633459802e-5,8.210527921997123e-4
ENSG00000164434.12,1.0010750133085597,0.9513856772135786,0.9702000320942549
ENSG00000211966.2,0.9400305540165574,2.8648655597403517e-4,0.002210182588628861
ENSG00000211662.2,0.9493784643477106,0.0026682308307934225,0.013162219542040138
ENSG00000211935.3,0.9455221590824331,0.0016262121489155582,0.008871641463902565
ENSG00000211648.2,0.9462018382053561,0.0015935113834133498,0.008732001001159461
