"gene","logFC_main","adjP_main","P_main","logFC_raw","adjP_raw","P_raw","direction_same","significant_main","significant_raw"
"AXL",-2.12673682829604,0.889971158782418,0.020321716066078,-2.12673682829604,0.895910945117688,0.0211244439669844,TRUE,FALSE,FALSE
"PECAM1",-1.45848079482712,0.889971158782418,0.0445669991123051,-1.45848079482712,0.895910945117688,0.0459290213019413,TRUE,FALSE,FALSE
"SIRPA",6.6364128580219,0.889971158782418,0.0482947265733432,6.63641285802189,0.895910945117688,0.0497246886972498,TRUE,FALSE,FALSE
"TBP",0.302077949582016,0.889971158782418,0.0551569889008791,0.302077949582015,0.895910945117688,0.0567659899082603,TRUE,FALSE,FALSE
"TNFRSF9",0.459850220763928,0.889971158782418,0.0599690380857489,0.45985022076393,0.895910945117688,0.0616250306216362,TRUE,FALSE,FALSE
"VCAN",-10.6972736293523,0.889971158782418,0.0697534144752139,-10.6972736293523,0.895910945117688,0.0715337919947918,TRUE,FALSE,FALSE
"TAP2",0.370818704416515,0.889971158782418,0.0861542070236964,0.370818704416518,0.895910945117688,0.0881933513215577,TRUE,FALSE,FALSE
"IFITM1",-34.9234657335122,0.889971158782418,0.0979254349271513,-34.9234657335121,0.895910945117688,0.100062248712806,TRUE,FALSE,FALSE
"CDH5",-0.759415382990716,0.889971158782418,0.105106706934767,-0.759415382990712,0.895910945117688,0.107329252101033,TRUE,FALSE,FALSE
"ICAM1",5.23570353666873,0.889971158782418,0.105592992517621,5.23570353666871,0.895910945117688,0.10781145136508,TRUE,FALSE,FALSE
"IFI27",-60.9227987443283,0.889971158782418,0.12494124231995,-60.9227987443283,0.895910945117688,0.127340979825608,TRUE,FALSE,FALSE
"PSMB8",0.77396741505285,0.889971158782418,0.131208232285747,0.773967415052843,0.895910945117688,0.133668677735625,TRUE,FALSE,FALSE
"HDAC3",0.828870972685802,0.889971158782418,0.137043677575202,0.828870972685804,0.895910945117688,0.139548834309689,TRUE,FALSE,FALSE
"C1QA",-34.4421116020914,0.889971158782418,0.15528111920152,-34.4421116020915,0.895910945117688,0.157907135521785,TRUE,FALSE,FALSE
"HLA-C",4.87833253131456,0.889971158782418,0.173344530029112,4.87833253131453,0.895910945117688,0.176077341834513,TRUE,FALSE,FALSE
"TBX21",0.29525556514516,0.889971158782418,0.17479931195188,0.295255565145159,0.895910945117688,0.177592776905286,TRUE,FALSE,FALSE
"GNG4",-0.549525513320078,0.889971158782418,0.178491653518113,-0.549525513320077,0.895910945117688,0.181266445086601,TRUE,FALSE,FALSE
"CMKLR1",-0.419110457895071,0.889971158782418,0.183861969782412,-0.419110457895071,0.895910945117688,0.186673962292312,TRUE,FALSE,FALSE
"STAT2",1.09834162415344,0.889971158782418,0.19174948318908,1.09834162415345,0.895910945117688,0.194575991375491,TRUE,FALSE,FALSE
"TNFRSF4",-2.04340944609681,0.889971158782418,0.195350991879506,-2.04340944609681,0.895910945117688,0.198190559512801,TRUE,FALSE,FALSE
"CTAG1B",1.68940769862165,0.889971158782418,0.199586526670281,1.68940769862165,0.895910945117688,0.202444196994817,TRUE,FALSE,FALSE
"HLA-B",12.2343961482724,0.889971158782418,0.199729035265654,12.2343961482724,0.895910945117688,0.202585804789339,TRUE,FALSE,FALSE
"CXCL5",-3.55346141169233,0.889971158782418,0.201543058614103,-3.55346141169233,0.895910945117688,0.204407424936926,TRUE,FALSE,FALSE
"LIF",-5.06295094235098,0.889971158782418,0.202751903452103,-5.06295094235099,0.895910945117688,0.205620869019078,TRUE,FALSE,FALSE
"ITGAX",0.496916360870896,0.889971158782418,0.20282741703973,0.496916360870894,0.895910945117688,0.205713773847606,TRUE,FALSE,FALSE
"TNFAIP3",1.2254074338506,0.889971158782418,0.208936879512848,1.22540743385059,0.895910945117688,0.211831846745083,TRUE,FALSE,FALSE
"ICAM2",-1.34823806043111,0.889971158782418,0.217226273336165,-1.34823806043112,0.895910945117688,0.220149408158332,TRUE,FALSE,FALSE
"IL6R",0.868708525244251,0.889971158782418,0.223954895431231,0.868708525244253,0.895910945117688,0.226902247218509,TRUE,FALSE,FALSE
"CXCL10",-6.42435347398788,0.889971158782418,0.226590617711242,-6.4243534739879,0.895910945117688,0.229540581084917,TRUE,FALSE,FALSE
"CCL5",-8.88896336268477,0.889971158782418,0.23206989719362,-8.88896336268477,0.895910945117688,0.235035133022125,TRUE,FALSE,FALSE
