"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HLA-DPA1",2.09872619047617,12.578725,4.60020395809181,3.87812881399572e-05,0.00277352467666507,2.1121398810658
"HLA-DQA1",2.57272619047617,12.842925,4.54661860729715,4.59826648366921e-05,0.00277352467666507,1.96071653338832
"HLA-F",1.6202857142857,9.0273,4.39671588850069,7.3838754476105e-05,0.00277352467666507,1.53981199138083
"LY9",2.37163095238094,6.581775,4.3751595694156,7.90138973214701e-05,0.00277352467666507,1.4796349911908
"HLA-DRA",1.95821428571427,14.41025,4.34755056925918,8.61631335378626e-05,0.00277352467666507,1.40269745157321
"IRF8",1.74358333333332,7.581075,4.33146352863564,9.06166749859645e-05,0.00277352467666507,1.35793984257173
"HLA-A",1.56424999999998,10.140775,4.30622430942619,9.8061282033587e-05,0.00277352467666507,1.2878276570419
"HLA-DPB1",1.80977380952378,12.782825,4.2176743078181,0.000129214995202957,0.00277352467666507,1.04293326413112
"CD74",2.16021428571427,13.91035,4.20516450290992,0.000134331174957547,0.00277352467666507,1.00847749903999
"CXCR4",2.10786904761903,9.762325,4.19489996791513,0.000138676233833254,0.00277352467666507,0.980232815984801
"HLA-DMB",2.33109523809521,10.60665,4.13771278872156,0.000165510919233512,0.00300928944060931,0.823325993075423
"CD8A",2.48366666666666,7.1226,4.09083911702418,0.000191221329194499,0.00318702215324166,0.695307736925775
"HLA-E",1.4278095238095,13.6922,4.03182630931379,0.000229161341764729,0.00337640248796404,0.534924583524722
"CD27",2.35682142857141,7.531975,4.02172842036,0.000236348174157483,0.00337640248796404,0.507571484381027
"IL32",1.90840476190475,9.5642,3.96973901011185,0.000276956449327311,0.00347608562881142,0.36717446506897
"PTPRC",1.71609523809522,8.1574,3.96840025009895,0.000278086850304914,0.00347608562881142,0.363568843693706
"ITGB2",2.22949999999998,9.83335,3.93418659879928,0.000308543100117526,0.00362991882491207,0.271591295620104
"CD4",1.80457142857141,9.19055,3.87014180642413,0.00037447317160184,0.00416081301779822,0.100310003720748
"IL2RG",1.73932142857141,7.627725,3.80796307886648,0.000451419259749193,0.00475178168157045,-0.0648267568582206
"CMKLR1",1.55720238095236,8.934875,3.70824920913148,0.000607671727994126,0.00587664386881652,-0.327156232168007
"ITGB3",-2.05880952380954,8.77625,-3.69419779383006,0.000633506451775018,0.00587664386881652,-0.363866512384828
"TNFRSF1B",1.73508333333332,8.454525,3.68737418581605,0.000646430825569818,0.00587664386881652,-0.38167021417429
"CD274",1.76815476190475,6.385625,3.60951488197103,0.00081308209280483,0.00707027906786809,-0.58370821754115
"ITGAX",2.05576190476189,9.15855,3.56351249516043,0.000930198866605102,0.00711400493336619,-0.702097699485949
"NKG7",2.28516666666665,8.82605,3.55974010080714,0.000940490290709906,0.00711400493336619,-0.711772932789264
"CXCL2",1.89721428571427,7.0002,3.55572973718139,0.00095155068254501,0.00711400493336619,-0.722052916938702
"TLR4",1.1837976190476,8.363675,3.55136313891425,0.000963735426624302,0.00711400493336619,-0.733239501809781
"SDHA",0.670619047619034,10.4239,3.53607478349705,0.00100758680914913,0.00711400493336619,-0.772351929554877
"PRF1",2.11155952380951,7.321575,3.52537250513968,0.00103941550332801,0.00711400493336619,-0.799681353155415
"CCL4",2.0445476190476,8.07765,3.50777565797491,0.00109385338360649,0.00711400493336619,-0.844525854098684
"TIGIT",1.91457142857142,6.20805,3.49568225436136,0.00113283785343075,0.00711400493336619,-0.875279072618481
"PDCD1LG2",1.26541666666665,7.371875,3.48955320244584,0.00115310006206233,0.00711400493336619,-0.890844397056081
"CTLA4",1.5985238095238,7.06545,3.47744526147082,0.00119415219403168,0.00711400493336619,-0.921552531557807
"HLA-DRB1",1.69953571428568,12.241325,3.47305477214862,0.00120938083867225,0.00711400493336619,-0.932674120470656
"ICOS",1.60872619047618,5.664475,3.45656685059383,0.00126824568194788,0.0072471181825593,-0.974374976268792
"CCL5",1.97348809523808,8.992725,3.42509504470753,0.00138829479641574,0.00756256336619121,-1.05368554942542
"CD14",1.54509523809522,11.0736,3.4223976973202,0.00139907422274537,0.00756256336619121,-1.0604653021166
"HAVCR2",1.65022619047617,8.620925,3.40808163308645,0.00145763647543713,0.00767177092335333,-1.09640136719507
"IL2RB",1.68030952380951,6.66995,3.36250174409187,0.00166006993961829,0.0085131791775297,-1.21028038889084
"LCK",1.65121428571427,6.84715,3.28874019290419,0.00204546291476301,0.0102273145738151,-1.39280149329982
"NLRC5",1.0435357142857,8.233025,3.27593481001834,0.00212049630336498,0.0103438844066584,-1.42426008093262
"GZMA",1.67796428571427,8.309925,3.25395506316372,0.00225541732165156,0.0103898587657684,-1.47809674928363
"CXCR6",2.08190476190475,4.651,3.25356413289338,0.00225788920464663,0.0103898587657684,-1.47905243978848
"CD79A",2.56547619047618,4.71775,3.24918283454428,0.00228576892846905,0.0103898587657684,-1.48975878132067
"CD5",1.86320238095237,5.834425,3.24010619650581,0.00234456932090236,0.0104203080928994,-1.51191292061814
"LAG3",1.9957738095238,6.062625,3.22434205863458,0.00245011659088222,0.0106526808299227,-1.55030621267753
"IRF1",1.19908333333332,7.054975,3.14819695352738,0.00302646903612123,0.0128785916430691,-1.73423601150096
"PSMB9",1.13071428571427,10.291,3.12385520911405,0.00323626987049307,0.0134331557684801,-1.79249201094918
"NLRP3",1.0897857142857,5.21215,3.11773679873612,0.00329112316327762,0.0134331557684801,-1.80709289996305
"TLR2",1.12383333333332,8.26115,3.09330618436208,0.00351901561245517,0.0140760624498207,-1.86522394832792
"PIK3CG",1.10395238095237,7.8869,3.08137517172851,0.00363563996461157,0.0142574116259277,-1.89351360533123
"CSF2",2.15605952380952,2.770675,3.0610836964992,0.0038423877064176,0.0147784142554523,-1.94147557321392
"TNFSF13",1.44888095238094,7.3802,3.04244667725728,0.00404198086983233,0.0152527579993673,-1.98535782280929
"TNFAIP3",0.953452380952372,9.0325,3.0156003382936,0.00434668457292283,0.016098831751566,-2.04828180760835
"TNFRSF17",2.23899999999999,5.2572,2.95799744744292,0.00507470880109703,0.0181988098459713,-2.18212966071493
"CCR5",1.21534523809522,7.132925,2.9522752338946,0.00515295522277696,0.0181988098459713,-2.19533795208803
"TBX21",1.54672619047618,4.888625,2.94983534954198,0.00518666080610181,0.0181988098459713,-2.20096492482143
"SLAMF7",1.3920357142857,7.780575,2.93293286407369,0.00542588531916143,0.0183980638065723,-2.23986567166459
"CD40",1.09320238095236,8.057675,2.93282608833008,0.00542742882293883,0.0183980638065723,-2.24011096526075
"GZMB",1.37416666666666,7.7555,2.87168233255764,0.006381936503599,0.0212731216786633,-2.37963877730299
"HLA-B",1.21583333333332,13.41975,2.84090374274966,0.00691959846887581,0.022430258006666,-2.4491571006663
"SOCS1",1.20072619047618,7.442825,2.83633261376069,0.00700295525184602,0.022430258006666,-2.45944016065565
"ICOSLG",1.26424999999999,7.258275,2.83293420485708,0.00706553127209978,0.022430258006666,-2.4670781028251
"HLA-C",1.23507142857141,11.36695,2.82177524486748,0.00727468091592034,0.022733377862251,-2.49211578772147
"CXCL16",1.42004761904761,7.9423,2.81519046793063,0.00740078290849904,0.0227716397184586,-2.50685984308616
"AXL",1.11009523809522,8.7531,2.7884524826045,0.0079339807309436,0.0240423658513442,-2.56649585474786
