"gene","logFC_GSE78220","P_GSE78220","adjP_GSE78220","logFC_GSE215868","P_GSE215868","adjP_GSE215868","logFC_GSE211645","P_GSE211645","adjP_GSE211645","n_cohorts_up","n_cohorts_down","n_cohorts_tested","direction_concordant","in_discovery_top50","in_discovery_top100"
"CTSW",-0.689589604678934,0.263616141207525,0.99603003143199,0.505088998502823,0.0836791868791556,0.402934947132882,1.52782142857142,0.0101508344325622,0.0270763689485215,2,1,3,"Discordante",FALSE,FALSE
"LIF",-0.796215686016286,0.271318475033834,0.99603003143199,0.307479119920901,0.432772304590528,0.727348411076517,-1.26114285714287,0.0319727654603653,0.0680271605539687,1,2,3,"Discordante",FALSE,FALSE
"SLC11A1",-0.454679389776923,0.27180157237235,0.99603003143199,0.143685892984929,0.599942725376764,0.867693959962354,1.66694047619046,0.0417737929521101,0.0835475859042203,2,1,3,"Discordante",FALSE,FALSE
"STAT3",0.323318691978701,0.276500169667204,0.99603003143199,0.0112496394018731,0.911295654520048,0.976570586152002,0.300630952380942,0.180835493376677,0.256504245924364,3,0,3,"Up en todas",FALSE,FALSE
"CXCL11",-0.63361662651516,0.283746394642302,0.99603003143199,0.494049635047077,0.167442658980837,0.471669461917852,0.642071428571413,0.239465554499479,0.323602100674971,2,1,3,"Discordante",FALSE,FALSE
"CD276",-0.372412008532095,0.285444130373189,0.99603003143199,-0.120061317604152,0.395846212164112,0.700612764892234,-0.0870595238095344,0.755964901813915,0.804217980653101,0,3,3,"Down en todas",FALSE,FALSE
"CSF1",-0.440603889289819,0.288270279551876,0.99603003143199,0.202215218382292,0.223004649864448,0.54391378015719,1.02424999999998,0.00998376987685107,0.0270763689485215,2,1,3,"Discordante",FALSE,FALSE
"PRF1",-0.496809721605321,0.296336669418511,0.99603003143199,0.702218924281351,0.0144889215676931,0.217829263223294,2.11155952380951,0.00103941550332801,0.00711400493336619,2,1,3,"Discordante",FALSE,FALSE
"SOCS1",-0.66957664080383,0.297103511157673,0.99603003143199,0.137275735937473,0.495471957101967,0.768173576902274,1.20072619047618,0.00700295525184602,0.022430258006666,2,1,3,"Discordante",FALSE,FALSE
"GZMA",-0.603127811519075,0.297134589633247,0.99603003143199,0.465892718131443,0.0919706119227053,0.402934947132882,1.67796428571427,0.00225541732165156,0.0103898587657684,2,1,3,"Discordante",FALSE,FALSE
"TCL1A",0.595281641041638,0.304299667240065,0.99603003143199,0.181839290671939,0.585722958627944,0.865029588758292,1.00366666666666,0.107573073734163,0.168082927709629,3,0,3,"Up en todas",FALSE,FALSE
"IFI27",-0.737656510865111,0.310715178547664,0.99603003143199,0.645379165607901,0.0486711711404927,0.346509295985897,0.698904761904744,0.216011068028041,0.297946300728333,2,1,3,"Discordante",FALSE,FALSE
"MYC",0.337423992858082,0.318368444682815,0.99603003143199,-0.115894220156314,0.534798916709315,0.810301388953508,-0.367011904761926,0.432458504652629,0.517914376829496,1,2,3,"Discordante",FALSE,FALSE
"CXCR6",-0.406474619677947,0.319438443701429,0.99603003143199,0.480830084931448,0.0613278760577187,0.371684097319507,2.08190476190475,0.00225788920464663,0.0103898587657684,2,1,3,"Discordante",FALSE,FALSE
"HAVCR2",-0.360873409823798,0.319748780081506,0.99603003143199,0.321092301872312,0.0901502673924115,0.402934947132882,1.65022619047617,0.00145763647543713,0.00767177092335333,2,1,3,"Discordante",FALSE,FALSE
"HLA-B",0.635762990552475,0.320204073838413,0.99603003143199,0.667407485516373,0.0045020851577358,0.159678311492694,1.21583333333332,0.00691959846887581,0.022430258006666,3,0,3,"Up en todas",FALSE,FALSE
"IRF3",-0.350473331188992,0.330619239268343,0.99603003143199,-0.0396476682282536,0.669563080427637,0.867693959962354,0.0510238095238007,0.809086044374414,0.847210517669543,1,2,3,"Discordante",FALSE,FALSE
"ICAM1",0.355608292704563,0.354319661269957,0.99603003143199,0.2712935054659,0.165134358694098,0.471669461917852,0.725238095238073,0.0424418531993212,0.0840432736620222,3,0,3,"Up en todas",FALSE,FALSE
"HLA-F",0.473046641335732,0.357336498799667,0.99603003143199,0.632612789219577,0.00820315378788087,0.164063075757617,1.6202857142857,7.3838754476105e-05,0.00277352467666507,3,0,3,"Up en todas",FALSE,FALSE
"HLA-DQA2",-0.5843633811804,0.362287166142142,0.99603003143199,0.400343597348396,0.149383378366962,0.463279481620818,1.94122619047618,0.00996026410441668,0.0270763689485215,2,1,3,"Discordante",FALSE,FALSE
"IL11",-0.452033459645799,0.363309737091726,0.99603003143199,0.15608328190621,0.606925099455495,0.867693959962354,0.177273809523804,0.761236895395428,0.805541688249131,2,1,3,"Discordante",FALSE,FALSE
"PDCD1LG2",-0.311058236381377,0.387429353302027,0.99603003143199,0.475693059417697,0.0368521183469513,0.294816946775611,1.26541666666665,0.00115310006206233,0.00711400493336619,2,1,3,"Discordante",FALSE,FALSE
"IFNGR1",0.321581755874032,0.388700993735533,0.99603003143199,0.029838537677203,0.816949192884241,0.933025806165456,0.503107142857125,0.0525680496369203,0.0973482400683709,3,0,3,"Up en todas",FALSE,FALSE
"STAT2",0.219095738947387,0.389101688264439,0.99603003143199,0.158711367434266,0.21508872421964,0.54277157782101,0.294238095238077,0.170160455879297,0.244835188315535,3,0,3,"Up en todas",FALSE,FALSE
"CD86",-0.325616375085992,0.390262701219781,0.99603003143199,0.223715928445573,0.217081064690846,0.54277157782101,1.1545238095238,0.0101536383556956,0.0270763689485215,2,1,3,"Discordante",FALSE,FALSE
"ZAP70",-0.493961232608568,0.395523389521517,0.99603003143199,0.298132941550277,0.261283993579505,0.5691335663797,1.29898809523808,0.0230511411214643,0.0529911290148605,2,1,3,"Discordante",FALSE,FALSE
"EIF2B4",-0.20497263998447,0.40333046132165,0.99603003143199,0.0364796978854942,0.633562264291233,0.867693959962354,-0.365011904761916,0.117010432871021,0.178641882245834,1,2,3,"Discordante",FALSE,FALSE
"SLAMF7",0.538203431774548,0.407381576885168,0.99603003143199,0.468390615062518,0.107335246615187,0.405443117767906,1.3920357142857,0.00542588531916143,0.0183980638065723,3,0,3,"Up en todas",FALSE,FALSE
"HDAC3",0.154813990954645,0.41093304235397,0.99603003143199,0.132534717482104,0.105844981380503,0.405443117767906,0.499464285714271,0.0263912520495471,0.0591451272121964,3,0,3,"Up en todas",FALSE,FALSE
"KLRD1",-0.240075602093681,0.419621206941232,0.99603003143199,0.442341525243688,0.0554414873577435,0.346509295985897,0.348857142857134,0.510848973732098,0.583827398550969,2,1,3,"Discordante",FALSE,FALSE
"TAP2",0.235971891840788,0.424835869418772,0.99603003143199,0.418721694163457,0.0152480484256306,0.217829263223294,0.760773809523792,0.0165144746086199,0.040730770693805,3,0,3,"Up en todas",FALSE,FALSE
