id	filename	md5	size	state
d698bb26-979d-4d26-af7b-afc3ad4e80e1	TCGA-SKCM.489ebef5-0a88-4f20-a78d-41596a93f7e6.absolute_liftover.gene_level_copy_number.v36.tsv	472fd44422a37c0af43c35893e079c4f	3431543	released
0afb4d08-276a-44a0-bc38-7d7999badc48	GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_F03_1051788.birdseed.data.txt	437ed81d6ed6af25c3b024f0c83210d0	20851974	released
ec865577-5712-4c4a-95be-b0de7844689e	2dc8a904-2877-4b89-945e-456674155728.wxs.Pindel.aliquot.maf.gz	4781b55bc7e8ab00f075534fcb0d2452	37296	released
bf32f8c7-1090-41b8-bb9a-431803858e5c	TCGA-ER-A2NC-10A-01D-A95C-36.WholeGenome.RP-1657.bam	e2d96cfe0dfa5384e0427ca9f4bd68eb	153137186915	released
0737d296-2931-4175-b335-a056793dcb99	TCGA-ER-A2NC-06A-11R-A18W-13_mirna_gdc_realn.bam	21bf79f4cbaca90a0349badfc3b95752	666044357	released
66f37a99-bd3c-4da7-b025-8440e8dd7fba	TCGA-ER-A2NC-06A-31-A20N-20_RPPA_data.tsv	c9b682f759d05ee061e0f7bc41a56d7d	22269	released
273d08e2-dd77-48bf-80db-6c34ed214268	TCGA-SKCM.407a61c9-24ef-4572-a740-b0bb91b96517.ascat3.gene_level_copy_number.v36.tsv	24b76f53b3929694e27638a62cc441f7	3445505	released
7d9dbec6-940e-4cf3-977f-187e5eb7f92b	TCGA-ER-A2NC-06A-11D-A95C-36.WholeGenome.RP-1657.bam	e2d337631e7d8fe105dba2d9d941bc91	311231039331	released
ba76ee21-5481-4f5b-9d00-7955e44de1bc	AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C04_895426.nocnv_grch38.seg.v2.txt	939cfc2050aff584fdbd35f86cc6b2f0	3623	released
fa0f6706-8269-499e-a93b-af8a26b35fc5	TCGA-SKCM.489ebef5-0a88-4f20-a78d-41596a93f7e6.ascat3.gene_level_copy_number.v36.tsv	0ac8c588e3bd8ccf19267194bae40ea4	3445753	released
493fbc97-06c5-41d2-86f8-da5c96611b05	7d63e49d-b427-499d-834a-d78b54b5713f_wgs_gdc_realn.bam	adf47867c79248434d26157f651094d0	21755409285	released
782a29dc-031c-4aee-bde6-9d47a6946a3f	774377e8-b03d-4d67-b1ec-a44e1db9a861.wxs.muse.raw_somatic_mutation.vcf.gz	4c23f1d3220a3bbf581aeb1c0475fdee	48715	released
3f66b550-8e59-4d6b-8725-e04603d1d09f	TCGA-D3-A3MU-06A-01-TSA.A04B4F05-9DCF-476C-9D62-ECC80FBD78F3.svs	79a0311778ff6eefcee204c0def9b917	180016739	released
73624f7c-2136-40cb-8cf1-ba73ce9a0be1	1fd89d3a-5991-4bfb-b27f-66b5f2a289d8.rna_seq.star_splice_junctions.tsv.gz	f0a614234b78fbef42649e30c777e257	2553425	released
c41324f3-1809-4b7a-87d4-69e3a0456e7b	TCGA-SKCM.4ac73014-6f68-42c6-969c-b4adf5d670a5.wgs.varscan2.raw_somatic_mutation.vcf.gz	d183aa998a5b6a46ce7163cdc7aa09e3	4213649	released
697449ff-a8fd-4f64-bd24-d44dd78c2eff	c914f9ad-27ff-4014-a1f8-bacdd94a77c8_wxs_gdc_realn.bam	5920ff204fe8298da97f5a312c1f50fe	16484455631	released
fde6f0b9-e23d-4139-af92-560e9f83d46d	TCGA-SKCM.2b69edb4-91f6-40f1-91c4-2672d1085843.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	9aba0d2accaafee502be2e8724f0cc71	1127407	released
a5a3b707-a11c-4ddc-8115-23f06da15d8d	c4c63ebd-4570-451b-8a8f-1839b999f90d_noid_Grn.idat	968d801dcbc8badf459cee5adc76a415	8095244	released
f499e472-a17d-4a50-b6b2-94633e5fb317	75a85bea-7c50-477d-b5f6-b967fff66592.wxs.MuTect2.aliquot.maf.gz	90b5e318fae7bc5fc0c0932c40045f01	1234811	released
5689a0fd-914d-4b84-b94f-b390b3a3a679	AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C05_895450.CEL	b7f74f106eff43ef72a66794b13c70ec	69038237	released
b62971d0-93af-4a02-a527-c0d7b9f904c6	AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C05_895450.grch38.seg.v2.txt	d48f87d335936cb95f39cb08ad15ffa0	35016	released
d98b71a3-9a19-4e47-af7b-3880b6cc9b7d	GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_F03_1051788.grch38.seg.v2.txt	efc9a3de527c165ed01edc86391e9fa2	41121	released
09330d49-6eaf-4a3b-af01-c792a78656b2	5b913527-2907-4006-b096-c460e6054c10.wxs.aliquot_ensemble_raw.maf.gz	699d7749d853aff1d3b9e7925a5ddc8d	318603	released
09302d22-f10a-4939-abd2-3dbb0777fa85	d97087fc-784c-43df-952b-55b327c4c353_wxs_gdc_realn.bam	7ed79fbf87279c96fde44ac464432f2e	20186313202	released
16acfa5d-47f3-4400-b9cd-a25daacb076f	AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_C05_895450.nocnv_grch38.seg.v2.txt	da3a4964381a71d6747532a1b180e8a7	10281	released
1b08b554-9d74-48b0-abaf-77da08d4d4c5	1f1ed143-f6c2-4b1f-90ba-059a30ed53fa_wxs_gdc_realn.bam	5646fe27af361dd9e6aedd55ae49fc87	13057331509	released
34745fc1-1ae6-4311-a7a3-fd43eeb40e4e	5b913527-2907-4006-b096-c460e6054c10.wxs.aliquot_ensemble_masked.maf.gz	2aa41c791b14380743a435d4e2f84f30	144817	released
e0187053-a027-4497-8566-f1a063cdffde	edb42585-b22b-45a2-9911-5bcac9771731.wxs.VarScan2.aliquot.maf.gz	d585cb91c72e3c72a0f370eb570323ef	496831	released
838c4915-d016-40cb-b916-f9d7f8f64e65	TCGA_SKCM.e608cb7f-d5eb-45e7-bdcd-827f126aa465.wxs.MuSE.somatic_annotation.vcf.gz	fac06b15dcc4e0c54c56c0989246e75c	607584	released
051dd365-87fb-4048-8aeb-b0c4689958bb	TCGA-SKCM.b70de143-0c36-4309-8e10-60673c499272.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	b1f9a8b0f3b61ebdd8116007a156e100	5680591	released
ca2eed30-6062-4beb-b9a8-f7034812857a	1fd89d3a-5991-4bfb-b27f-66b5f2a289d8.rna_seq.augmented_star_gene_counts.tsv	49c1475a66e4cf96e557bb0d42f507d7	4245781	released
773fbb30-fe5d-486b-8b33-649b45f5488b	TCGA-SKCM.489ebef5-0a88-4f20-a78d-41596a93f7e6.gene_level_copy_number.v36.tsv	a92b0032b737f1c64f308f7ef08645c7	3446690	released
8717dffd-cbdb-4a82-ac0f-403c1f4a9f5a	TCGA-D3-A3MU-06A-11D-A958-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	4df1c0c5511ffc1c23e97dc30cba8cc1	78852	released
ba0410fa-36cf-4e2f-ae5d-2d5c02c38f66	TCGA-SKCM.421337e4-9cf0-4df7-ab0e-185c43270d17.star_fusion.rna_fusion.bedpe	6e5690795ff424264402ab9d2661b62b	229	released
7e37a61e-5005-4a01-a156-c792f48b406b	TCGA_SKCM.2d4d63c9-cd49-4a3a-ac44-bdcbd5b31ac7.wxs.VarScan2.somatic_annotation.vcf.gz	92d444f62e908ffbd0621ec0e3d10e36	626674	released
15bbadd6-868c-43f3-8c2e-8102ff44c18d	df5aae3d-066b-45ad-826d-9758baa0629d.mirbase21.isoforms.quantification.txt	ac00ebcecf7371de370f6cdf8791e274	248399	released
04192f97-a964-49c0-8719-bb8d36378594	774377e8-b03d-4d67-b1ec-a44e1db9a861.wxs.varscan2.raw_somatic_mutation.vcf.gz	5cb3b7171e36c7bd23e3976f52e5a8d5	72421	released
e0a8b69d-651e-4aa4-ab70-1f2d9b682a71	f8f48945-7d77-4a62-8aab-922f707749ae.wxs.MuTect2.aliquot.maf.gz	0b73aa5b3f23cfd02bf3f2e774720974	2041937	released
41b9d3b7-e5b8-400f-bc53-1752a099ab33	TCGA_SKCM.43c4150c-0165-44bb-897b-b3119f689dbf.wxs.VarScan2.somatic_annotation.vcf.gz	ec39056acfb3e5df4be6fa930a4132a8	682987	released
d64d7018-3e70-484b-a44f-68af090c74fe	e4422de2-e2b9-48d5-a377-99265846bb50.wxs.aliquot_ensemble_masked.maf.gz	b27ab50fb529ff85c291a36d85ac5f62	181523	released
e1520ddd-2a9e-41b6-a000-379f28728d00	TCGA_SKCM.24b787d8-6d65-4b06-bda1-d29a244416a0.wxs.MuTect2.somatic_annotation.vcf.gz	19a6611565ba803191d2a3cada926c29	2904690	released
