"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SERTM2",2.24207736818947,0.343143716149016,4.45994618551849,4.90194057050723e-05,0.658971268948883,1.81090467287079
"PMP22",-0.103925975550619,3.80367478672463,-4.36281273257071,6.74484410387803e-05,0.658971268948883,1.53652049752987
"MEIS3P1",-0.126330022199038,3.33404282284758,-4.21103913976083,0.000110499105335424,0.71971750608473,1.1123143773851
"HTR6",0.517326931154104,-0.304460487775017,4.00042815317137,0.000216789770808932,0.937744515055338,0.533841891722985
"HUS1B",0.285954690176949,0.8222497438163,3.74672674544209,0.000478968901725898,0.937744515055338,-0.145033276461902
"FLCN",-0.0620805201329881,3.49584097938023,-3.71978088897067,0.000520349340782892,0.937744515055338,-0.215866850066286
"PTTG2",0.403756186748343,-0.287933565196494,3.66714108271651,0.000611309779645994,0.937744515055338,-0.353493902567682
"FAM223B",0.287261365902211,0.0916358711673312,3.63174897338243,0.000680844184406761,0.937744515055338,-0.445457790920764
"PAGE5",1.85538704705007,0.827869319771692,3.59095912253238,0.000770389193008373,0.937744515055338,-0.550866571231931
"LINC00571",-0.258000334957692,1.8661440262507,-3.52858898858282,0.000929426220757001,0.937744515055338,-0.710810674117985
"GPR88",0.777894195598146,1.8494087228389,3.4557885196599,0.00115475395809357,0.937744515055338,-0.895559790879852
"PTK7",-0.115809498291879,3.5989647501248,-3.44606344734458,0.00118853372010146,0.937744515055338,-0.920077164312881
"HMX2",1.28417180234591,-2.57183445201497,3.43548356109838,0.00122635099674689,0.937744515055338,-0.946705417015206
"UTS2R",0.680858749859153,-2.13589818911123,3.40186771160242,0.00135425856484745,0.937744515055338,-1.03100426498678
"GLP2R",0.80624789484829,0.48932894130278,3.38994465447297,0.00140260051476381,0.937744515055338,-1.06079022890105
"DPYSL5",1.21574173578396,0.462166286498874,3.38508825702874,0.00142275719365166,0.937744515055338,-1.07290519953365
"GPR31",0.365461486529153,0.666144676534517,3.37716610257328,0.00145623048944929,0.937744515055338,-1.09264669006623
"SNORD35A",-0.217812705432921,2.24596882284314,-3.3726950790181,0.0014754507629233,0.937744515055338,-1.10377641763253
"TCEAL9",-0.0616740474553796,3.64079031917525,-3.33110600923315,0.0016661570303383,0.937744515055338,-1.20689369379112
"MTM1",0.0705373402859135,3.44875778908655,3.32228648983654,0.00170949978249499,0.937744515055338,-1.22866498929763
