"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALDH1L2",-1.28196166528096,1.48472677123749,-4.46590610945492,0.000128254518074294,0.763527489872528,-3.85890408822141
"MFAP2",-2.90100672864148,4.53884426901368,-4.4493155350107,0.00013408073582773,0.763527489872528,-3.86245562044655
"CDH1",3.30212709444626,3.56589956710127,4.3893006506948,0.000157439168988768,0.763527489872528,-3.87537188482953
"MAP2K5",0.762352398918734,3.42247984866851,4.23392182148507,0.000238382260943272,0.867055878615915,-3.90929985732304
"FBLN2",-1.81774970263528,3.50119412786651,-4.06585283511386,0.000372629381844851,0.998957296070177,-3.9467478388901
"H1F0",-1.61777305381289,6.43924641558112,-4.01597116730616,0.000425245868722975,0.998957296070177,-3.9580023071001
"TRAF3IP2",1.19621293213141,2.94203910376784,3.88137917960716,0.000606501025411664,0.998957296070177,-3.9886654950411
"OLIG1",1.98736833110536,1.91100264755798,3.74273151274138,0.000872238188913061,0.998957296070177,-4.02066609270366
"FBLN1",-2.42904505871548,5.29695324363257,-3.7329373007195,0.000894824764076939,0.998957296070177,-4.022941111249
"SLC16A3",-1.84664571729818,5.32703656895343,-3.64424592839956,0.00112716532549574,0.998957296070177,-4.043621695991
"ANO1",-1.1969044063218,2.06862798484833,-3.62988473393196,0.00116995383714084,0.998957296070177,-4.04698311984853
"MXRA8",-1.92388873687698,4.46819048691525,-3.59019381798152,0.0012966140715286,0.998957296070177,-4.05629053493185
"CILP2",-0.944550838564765,0.974556461178927,-3.58400522247374,0.00131753045483569,0.998957296070177,-4.05774395387929
"RASL12",-1.10484781612509,1.86592007500836,-3.55999771524827,0.00140182509070649,0.998957296070177,-4.0633876467651
"AXL",-1.40949843736967,3.09181236707003,-3.53430744191941,0.00149783831170929,0.998957296070177,-4.0694361645685
"TIMP3",-1.47712525520791,6.36435347669649,-3.49769426787311,0.00164580023824184,0.998957296070177,-4.07807199788223
"PDGFRB",-1.27741883947309,3.89460696377393,-3.46726214649126,0.00177949987625808,0.998957296070177,-4.08526303720603
"JMJD7",0.913970448155855,2.65625280164391,3.46586081593906,0.00178590376009046,0.998957296070177,-4.08559444075005
"MIR503HG",-0.882736025509197,1.14023021570068,-3.46117783791494,0.00180746689398444,0.998957296070177,-4.08670209690985
"COL6A3",-1.69748887454586,5.42037095390982,-3.43525897205399,0.00193145477059639,0.998957296070177,-4.09283722276942
"HTRA3",-1.70652664554173,2.98383400964902,-3.42391745813133,0.00198826591303099,0.998957296070177,-4.09552417279502
"PPA2",0.655938475882589,4.68464296579497,3.41304029136581,0.00204426966049861,0.998957296070177,-4.09810240388294
"CIPC",0.67322677897721,3.02190605714802,3.3846243816351,0.00219787733992617,0.998957296070177,-4.10484355249202
"LYSMD2",0.969638893305481,3.47266747320016,3.37941783063867,0.00222720766981145,0.998957296070177,-4.1060795622618
"PKDCC",-1.15335033318749,2.19086716103741,-3.34300309154351,0.00244318473460774,0.998957296070177,-4.11473107816221
"ADAMTS12",-0.804560105000728,0.858539386459976,-3.30704427708214,0.00267623479618965,0.998957296070177,-4.12328496006818
"ZNF219",1.03569643850646,3.86226524788612,3.3068558686532,0.00267751060138055,0.998957296070177,-4.12332980401709
"CPE",-1.56489416141962,3.67721959406306,-3.29862527429419,0.00273382005827016,0.998957296070177,-4.12528904681559
"ROR2",-0.939094530405609,1.31130291771171,-3.28830156304836,0.00280606523547183,0.998957296070177,-4.12774719154799
"HOGA1",0.8999276778132,1.16869526852877,3.28725131302537,0.00281351715705028,0.998957296070177,-4.12799730225999
"FOXC2",-0.803740086369976,0.53599899126148,-3.27444960709461,0.00290589701058902,0.998957296070177,-4.13104650917122
"DYNLL2",0.703762312509062,5.96166668440854,3.263246421098,0.00298913316899106,0.998957296070177,-4.13371577747442
"MMP2",-1.77426354914048,5.66523214703442,-3.26072013740544,0.00300821742538164,0.998957296070177,-4.13431778844417
"ELN",-1.64267890419089,2.28243498707001,-3.25796224384701,0.00302918525371852,0.998957296070177,-4.13497503218773
