"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction"
"GO:0030540","female genitalia development","3/290","14/11800",0.214285714285714,8.7192118226601,4.5870945894571,0.00437330900909106,0.0457635549879886,0.0380235752533413,"AXL/WNT5A/STRA6",3,"Down en respondedores"
"GO:0034112","positive regulation of homotypic cell-cell adhesion","3/290","14/11800",0.214285714285714,8.7192118226601,4.5870945894571,0.00437330900909106,0.0457635549879886,0.0380235752533413,"MMRN1/EMILIN2/PLAUR",3,"Down en respondedores"
"GO:2000027","regulation of animal organ morphogenesis","6/290","63/11800",0.0952380952380952,3.8752052545156,3.63198890848774,0.0043931666512404,0.0458225764302518,0.0380726144123848,"WNT2/SFRP2/RUNX2/WNT5A/HOXA11/MSX1",6,"Down en respondedores"
"GO:0061326","renal tubule development","7/290","84/11800",0.0833333333333333,3.39080459770115,3.49042235555854,0.00454283232090969,0.0470789343096203,0.0391164847669462,"GPC3/HEYL/COL4A1/NPNT/OSR1/HOXA11/IRX1",7,"Down en respondedores"
"GO:1901343","negative regulation of vasculature development","7/290","84/11800",0.0833333333333333,3.39080459770115,3.49042235555854,0.00454283232090969,0.0470789343096203,0.0391164847669462,"NPR1/DCN/ANGPT2/TIE1/RGCC/CREB3L1/SERPINE1",7,"Down en respondedores"
"GO:0060070","canonical Wnt signaling pathway","14/290","258/11800",0.0542635658914729,2.20796578454959,3.11392314013847,0.00468417429008925,0.0483881209517874,0.0402042489675677,"GPC3/DKK3/FZD8/COL6A1/EDNRA/WNT2/IGFBP6/ASPM/SFRP2/WNT5A/BICC1/FZD4/DACT1/LINC00941",14,"Down en respondedores"
"GO:0007566","embryo implantation","5/290","45/11800",0.111111111111111,4.52107279693487,3.75624474618166,0.00473521091981825,0.0486037732311281,0.0403834280255368,"FBLN1/MMP2/STC2/FBN2/TPPP3",5,"Down en respondedores"
"GO:0010596","negative regulation of endothelial cell migration","5/290","45/11800",0.111111111111111,4.52107279693487,3.75624474618166,0.00473521091981825,0.0486037732311281,0.0403834280255368,"MMRN1/DCN/ANGPT2/RGCC/ACVRL1",5,"Down en respondedores"
"GO:0032869","cellular response to insulin stimulus","12/290","205/11800",0.0585365853658537,2.38183347350715,3.16797102338993,0.00475408475651171,0.048642587842023,0.0404156779300444,"AXL/PDGFRB/ROR2/FOXC2/RAB31/COL6A1/PDGFRA/PTPRE/EPHA3/NTRK2/TIE1/FLT1",12,"Down en respondedores"
"GO:0007292","female gamete generation","8/290","107/11800",0.0747663551401869,3.04221720915243,3.36833116254665,0.00481760777249621,0.049136550160618,0.0408260965130925,"MMP2/EDNRA/INHBA/ASPM/SYCP2/MMP19/PLD6/TNFAIP6",8,"Down en respondedores"
